month,126905,140237,45551,156562,48168,47493,134174,129922,154244,26807,47386,149714,148076,150965,115514,17890,146037,137169,156213,152795,147178,134175,14205,53258,42993,146789,58218,134536,27930,129416,128457,149351,159977,148603,150413,147990,47325,134951,127377,46928,132630,148925,46787,142155,161515,138800,166809,157560,50985,146348,140766,138622,129875,140439,75911,128702,124106,153214,141105,142813,148651,6578,41365,139154,132010,19678,151237,144910,124578,133972,158407,125355,128356,53345,66417,133864,125754,18956,157527,124688,168868,150289,140837,136422,149542,41444,146402,145787,154584,29269,141099,23706,50944,147888,154781,127598,153044,75828,140234,18948,146314,164383,148452,124482,126547,149842,53292,41790,46818,147054,52323,124449,148401,50988,157065,140833,141913,145446,144779,146840,2014,134438,157580,23038,140208,157551,157563,145563,124856,142218,50080,124699,52990,157504,62103,61641,20602,162240,53274,153043,135446,127637,147430,158156,153162,51414,24317,161580,135786,115492,125066,157214,137191,157579,29201,1698,148740,50567,154782,127151,22388,131730,158625,157836,157506,138343,47905,159663,157094,35224,148540,147712,150745,52596,143447,135211,156775,154238,36692,152418,159411,158553,162210,126801,147940,125635,157914,161152,157869,157168,124551,50017,151272,159626,129871,127104,126448,51010,161400,151480,134662,141413,157183,159428,158624,152773,149236,132919,48687,147362,157346,133613,154179,157212,125153,61754,156185,140540,161286,42056,134783,146651,157343,125074,52356,135344,157558,166694,24996,121731,157759,164382,144210,131043,32570,14474,144193,708,148056,145967,161151,160576,24102,145808,152390,157112,138166,14522,39821,149774,156414,157101,124150,164245,162402,142913,168022,40251,133920,125727,140618,43145,149021,159264,160398,140750,153257,161045,148199,152974,17120,50884,24314,153353,132710,58197,124864,150284,138840,52769,144626,3420,158988,123946,149458,157115,51180,148111,148539,148942,156275,155343,157096,150243,157091,149295,51461,158224,20889,49729,158557,150307,151021,151524,165658,127927,159432,129820,127485,131748,146361,146069,157406,62389,143037,161543,144121,163504,139612,52800,124361,149588,165164,162247,27291,163366,18793,17141,41250,23122,161484,39716,153541,159302,50676,148690,43093,147784,146782,146731,146693,146261,146064,144094,141815,140980,140795,140478,139297,138281,135008,134928,654,131881,130832,130779,130121,71478,718,82113,151452,14795,157005,156567,43182,158181,158010,157982,157977,157830,46393,153455,156942,37205,49098,154570,154182,153596,47964,51056,37951,7753,43591,71506,44191,45145,49332,41489,48758,53070,46208,61664,60683,46544,41281,48160,54614,4152,50234,1016,36150,146777,141490,142247,142322,143976,144560,144567,144781,146665,146933,151680,148597,148649,149158,149182,150106,151153,151178,151273,141177,141159,140057,139928,10630,113889,119493,124634,125539,126164,126447,127349,128526,130656,132577,135097,135118,135319,135480,136183,136697,151427,152391,34978,161819,158236,158589,158652,158824,159027,159033,159737,160453,163266,152661,165659,166665,167491,19464,21475,21789,25766,2980,158032,157828,157342,157104,152737,152886,153129,153511,10280,153823,153942,153988,154898,155115,155141,156113,156315,156680,156692,156864,156939,848
1,623,56,267,0,146,1,29,0,0,7,44,0,105,0,105,1,0,51,0,0,47,0,2,8,18,60,8,7,10,2,0,39,0,0,0,17,3,6,16,6,20,0,1,30,0,0,0,0,25,9,4,5,4,0,3,0,2,0,4,4,0,0,0,6,3,2,0,17,1,5,0,1,7,0,2,3,13,6,0,3,0,0,0,10,30,0,2,3,0,4,0,3,9,7,0,0,0,5,3,5,2,0,28,3,0,27,3,2,0,0,0,3,20,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,5,1,0,5,7,0,0,0,0,1,3,3,0,0,0,1,0,9,0,2,0,0,0,5,0,2,2,0,2,1,9,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,4,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,465,202,76,0,135,0,81,0,18,121,10,0,124,5,127,0,0,59,0,6,68,0,3,1,12,95,20,9,17,7,0,1,0,49,0,42,0,4,12,20,14,11,4,17,0,1,0,0,31,1,0,1,17,5,8,24,8,0,5,0,0,0,0,6,6,4,0,23,9,0,0,3,5,0,9,11,0,2,0,7,0,0,4,1,5,0,5,10,0,9,0,5,6,6,0,3,1,3,2,7,0,0,1,2,17,1,6,1,0,0,0,4,3,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,4,3,0,0,5,0,1,0,0,0,2,1,2,0,0,10,4,0,3,0,4,0,0,0,6,0,3,3,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,5,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,703,300,4,0,155,125,157,27,138,586,111,0,170,2,93,0,73,68,0,56,34,0,0,2,17,13,18,20,6,21,34,55,0,0,50,1,0,7,27,12,18,32,2,20,0,0,0,0,23,0,51,7,13,18,8,13,13,1,11,0,0,9,0,5,5,6,0,12,9,1,0,10,7,0,11,9,0,3,0,6,0,0,5,5,1,1,7,3,0,7,0,6,7,3,0,5,4,10,8,1,0,0,0,5,12,0,8,3,0,0,0,8,1,0,0,0,18,3,0,2,1,2,0,0,0,0,0,1,0,0,2,1,2,0,3,2,1,0,1,0,2,4,3,0,0,8,2,0,0,0,1,0,0,0,2,1,6,0,0,3,1,0,0,0,0,4,0,0,0,0,0,1,0,4,0,2,0,0,4,3,0,0,0,7,0,0,0,0,0,0,2,0,3,0,0,4,5,0,0,2,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,3,2,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,4,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
4,915,426,185,80,155,187,134,160,207,311,145,0,124,26,1,53,22,4,3,48,9,1,13,0,22,0,20,21,17,25,27,0,0,23,1,52,0,17,9,73,10,0,5,5,0,4,0,0,0,2,7,6,4,4,2,0,4,11,6,0,59,7,0,2,3,9,3,2,4,7,0,3,4,0,10,6,0,11,0,3,0,1,7,9,0,0,7,7,3,7,0,7,5,1,4,4,6,3,1,2,0,0,0,4,0,0,2,4,0,0,5,3,0,0,2,0,6,0,0,0,1,5,0,2,0,0,0,6,0,0,3,1,3,0,0,2,4,0,3,3,3,3,4,0,0,0,1,0,0,0,4,0,1,0,0,1,3,0,0,2,0,0,0,3,0,8,2,0,0,2,0,0,8,2,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,1,0,0,10,1,0,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,5,0,0,0,0,1,2,0,1,0,2,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
5,1403,364,896,535,169,130,138,178,185,15,134,1,6,67,0,58,110,61,37,46,1,200,35,0,31,0,47,14,20,27,50,1,0,61,41,1,0,14,15,1,29,50,9,5,0,22,0,0,0,22,0,15,3,3,11,0,16,5,3,0,2,3,0,8,12,11,6,0,7,18,1,6,3,3,4,0,0,22,0,9,0,6,3,7,1,0,5,3,3,4,0,5,0,0,8,4,3,7,7,1,3,0,0,6,0,0,3,2,2,0,5,5,0,0,2,4,0,6,0,0,4,1,0,0,0,0,0,4,0,0,2,4,0,0,3,1,3,0,2,5,0,4,2,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,14,1,7,0,0,1,0,2,1,0,0,1,0,1,2,1,0,0,12,8,0,0,0,4,0,0,7,0,0,0,0,0,1,9,0,0,0,1,0,0,0,3,1,0,4,0,0,0,1,1,2,0,0,1,5,0,2,0,0,3,0,7,0,0,0,3,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,1,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,1605,360,925,629,188,166,197,197,120,53,148,12,0,101,0,59,52,8,42,39,43,0,56,0,25,0,19,21,18,34,1,39,0,2,1,0,0,10,8,0,9,7,11,16,0,25,0,18,0,37,0,18,14,6,4,8,10,1,5,0,0,2,0,5,8,4,6,0,9,2,22,2,12,19,3,0,7,0,11,4,0,10,4,4,0,0,2,1,1,3,0,3,3,3,4,4,1,0,2,5,6,0,0,0,0,0,2,3,9,1,1,3,1,0,1,7,0,0,1,0,2,1,0,5,6,2,3,3,0,0,4,3,3,3,1,2,1,0,3,3,2,1,2,2,0,0,1,0,0,0,2,2,3,5,2,0,1,0,1,0,2,1,0,2,5,0,0,0,2,2,0,3,1,1,9,1,1,2,1,0,10,8,0,0,1,1,0,0,0,3,1,0,1,0,1,0,0,0,0,2,0,0,1,2,10,0,0,2,2,0,4,1,0,3,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1,0,3,0,1,0,1,2,0,0,3,5,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,1578,399,119,693,205,224,192,176,141,1,92,62,0,122,0,37,19,20,38,26,1,0,26,26,19,0,11,12,10,12,0,7,0,0,32,7,17,11,8,0,11,0,11,2,0,37,0,53,0,5,10,10,8,2,3,20,5,13,4,2,0,12,0,7,4,5,16,0,8,15,13,2,2,18,1,2,21,0,30,5,0,6,3,0,0,0,3,2,3,0,0,2,1,1,6,6,4,2,6,4,4,0,0,3,0,0,2,1,8,1,0,1,1,0,4,2,0,6,6,0,1,6,0,3,14,20,17,3,0,0,5,2,4,11,0,0,3,0,3,3,0,0,0,3,0,0,5,0,2,0,3,14,1,9,0,0,0,1,0,0,0,1,7,1,8,0,2,0,11,0,0,1,0,1,4,2,0,0,2,0,2,0,0,0,0,6,0,6,0,6,1,0,0,11,1,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,2,2,0,5,2,0,1,1,0,0,0,1,5,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,1,0,0,1,0,5,1,0,0,1,0,0,0,1,1,2,1,4,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1343,399,88,382,175,183,151,182,66,0,45,91,0,21,0,31,0,3,17,1,4,0,25,8,5,0,11,15,7,16,9,0,0,0,4,1,28,16,6,0,0,0,23,0,0,2,0,9,0,0,0,8,0,2,4,3,4,17,0,17,1,7,0,9,2,2,15,0,4,4,16,3,5,8,2,2,1,0,3,5,0,9,0,1,0,0,1,5,12,0,0,3,1,1,3,3,6,2,1,1,5,0,0,4,0,0,2,1,2,5,0,0,0,0,8,1,0,7,0,0,4,1,0,1,2,0,2,1,20,0,0,1,0,6,2,3,3,4,1,3,2,1,0,4,5,0,0,1,3,0,0,0,7,2,0,0,0,4,0,0,1,1,8,0,2,0,1,3,1,3,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,9,4,9,2,3,0,1,0,3,0,0,4,2,2,0,0,0,4,0,0,1,0,0,10,3,0,0,1,1,0,8,1,3,0,0,1,2,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9,1051,314,229,94,137,192,148,156,135,0,31,197,0,20,0,33,0,0,38,0,0,0,26,6,5,0,10,12,13,0,9,0,6,0,0,0,28,11,6,0,0,0,11,0,0,0,0,0,0,0,0,1,0,1,8,0,5,0,8,12,0,5,0,6,2,4,6,0,1,0,0,9,3,0,1,8,3,0,0,0,0,2,5,1,0,4,1,2,14,0,0,0,0,4,5,2,7,0,0,2,2,9,0,0,0,0,0,4,2,3,0,0,0,6,3,4,0,2,0,0,3,0,0,3,1,0,0,4,2,3,0,0,6,0,0,2,3,5,3,2,3,1,2,4,5,0,0,8,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,8,0,0,1,7,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,3,1,0,0,1,0,0,0,2,2,3,2,3,0,0,0,0,0,0,1,0,0,2,4,0,0,1,0,4,0,0,1,0,0,5,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,1018,240,14,83,119,249,137,128,146,0,65,246,0,32,0,29,0,0,57,0,0,0,10,42,10,0,4,7,18,0,7,0,34,0,0,0,27,7,4,0,0,0,13,0,40,0,8,0,0,0,0,0,3,10,11,0,1,3,16,13,0,9,2,0,5,6,2,0,0,0,0,6,1,0,5,2,0,0,0,0,0,4,3,0,0,12,3,1,1,1,10,0,2,2,2,1,0,0,0,0,5,5,0,0,0,0,0,3,4,11,2,0,0,9,4,5,0,0,0,0,3,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,4,1,0,2,0,0,1,6,0,0,4,0,2,0,0,3,0,1,9,0,4,0,0,1,2,0,0,0,0,1,4,0,2,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,6,0,1,1,0,0,3,0,0,1,1,0,4,1,0,0,3,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1173,200,0,23,84,184,160,115,153,0,24,218,0,5,0,2,1,0,35,0,0,0,0,88,9,0,0,15,16,0,7,0,96,0,0,0,12,11,2,0,0,0,7,0,54,0,77,0,0,0,0,0,5,20,7,0,0,16,4,14,0,4,53,0,4,1,0,0,1,0,0,5,1,0,0,5,0,0,0,0,42,2,4,0,0,20,1,0,0,2,25,0,0,5,1,0,0,0,0,2,3,15,0,2,0,0,0,4,0,6,14,0,0,10,1,2,0,0,17,9,4,1,23,3,0,0,0,0,0,7,0,0,1,0,0,0,0,6,2,0,1,0,0,0,2,0,1,4,0,15,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,3,0,1,1,0,0,1,0,0,2,1,0,3,0,0,0,1,1,4,0,1,6,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
All,11877,3260,2803,2519,1668,1641,1524,1319,1309,1094,849,827,529,401,326,303,277,274,267,222,207,201,196,181,173,168,168,153,152,144,144,142,136,135,129,121,115,114,113,112,111,100,97,95,94,91,85,80,79,76,72,71,71,71,69,68,68,67,66,62,62,58,55,54,54,54,54,54,53,52,52,50,50,48,48,48,45,44,44,42,42,40,38,38,37,37,37,37,37,37,35,34,34,33,33,32,32,32,30,30,30,29,29,29,29,28,28,28,27,27,27,27,26,25,25,25,24,24,24,23,23,23,23,23,23,22,22,22,22,21,20,20,20,20,19,19,19,19,19,19,18,18,18,18,18,18,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
